.,English
EventBathroom.text,Place the {c:Bathroom} as indicated.
EventBathroom.button,{qst:Continue}
Event_place_e_Bathroom_to_Office_4.text,Place an Explore token as indicated.
Evente_Bathroom_to_Office_4.button,{qst:Continue}
EventStreet2.text,Place the {c:Street2} as indicated.
EventStreet2.button,{qst:Continue}
Event_place_s_Street2_to_FleaMarket.text,Place a Sight token as indicated.
Events_Street2_to_FleaMarket.button,{qst:Continue}
EventStudy.text,Place the {c:Study} as indicated.
EventStudy.button,{qst:Continue}
Event_place_e_Study_to_Library_4.text,Place an Explore token as indicated.
Evente_Study_to_Library_4.button,{qst:Continue}
EventAlley2.text,Place the {c:Alley2} as indicated.
EventAlley2.button,{qst:Continue}
Event_place_s_Alley2_to_FleaMarket.text,Place a Sight token as indicated.
Events_Alley2_to_FleaMarket.button,{qst:Continue}
EventRootCellar.text,Place the {c:RootCellar} as indicated.
EventRootCellar.button,{qst:Continue}
Event_place_e_RootCellar_to_Street2_1.text,Place an Explore token as indicated.
